lambda_l2,learning_rate,max_depth,min_data_in_leaf,num_leaves,num_boost_round,ra_medio,ra_std
0.0,0.05,-1,3,8,50,0.6285714285714287,0.03857142857142859
0.1,0.1,8,3,5,10,0.6285714285714287,0.0014285714285714457
0.1,0.1,-1,3,5,50,0.6264285714285714,0.006428571428571339
0.1,0.1,8,1,8,10,0.6264285714285713,0.006428571428571395
0.1,0.1,-1,1,5,10,0.6242857142857143,0.0014285714285715567
0.0,0.1,8,3,5,10,0.6235714285714287,0.002142857142857224
0.1,0.1,-1,1,8,10,0.6235714285714286,0.0050000000000000044
0.1,0.1,-1,1,5,50,0.622857142857143,0.005714285714285727
0.1,0.1,8,1,5,50,0.6214285714285714,0.0028571428571428914
0.0,0.05,8,1,8,50,0.6214285714285714,0.018571428571428572
0.1,0.05,8,1,5,50,0.6207142857142858,0.01642857142857146
0.1,0.1,-1,3,5,10,0.6207142857142858,0.0035714285714285587
0.0,0.1,8,1,5,50,0.6192857142857143,0.015000000000000013
0.0,0.05,-1,1,8,50,0.6192857142857142,0.023571428571428577
0.0,0.1,8,1,5,10,0.6185714285714285,0.0028571428571428914
0.1,0.05,-1,1,5,50,0.6178571428571429,0.017857142857142794
0.0,0.1,-1,3,5,10,0.6178571428571429,0.0007142857142856673
0.0,0.1,-1,1,5,10,0.6164285714285714,0.010714285714285787
0.1,0.05,8,1,8,50,0.6164285714285714,0.020714285714285796
0.0,0.05,-1,1,5,50,0.6157142857142858,0.02857142857142858
0.0,0.1,8,3,5,50,0.6150000000000001,0.026428571428571357
0.0,0.1,-1,1,5,50,0.6142857142857143,0.02285714285714291
0.1,0.1,8,3,5,50,0.6142857142857143,0.0014285714285713902
0.0,0.05,8,1,5,50,0.612857142857143,0.019999999999999962
0.1,0.05,-1,1,3,50,0.6121428571428571,0.0035714285714285587
0.0,0.1,-1,3,5,50,0.6114285714285714,0.02714285714285719
0.1,0.05,-1,1,8,50,0.6107142857142858,0.01642857142857146
0.1,0.05,8,1,3,50,0.6057142857142858,0.01000000000000012
0.0,0.1,-1,1,3,10,0.6000000000000001,0.010000000000000009
0.0,0.1,8,1,3,10,0.5950000000000001,0.00928571428571423
0.1,0.1,8,1,3,10,0.595,0.010714285714285732
0.0,0.05,-1,1,3,50,0.5921428571428572,0.04500000000000004
0.0,0.05,8,1,3,50,0.5914285714285714,0.04142857142857137
0.1,0.1,-1,3,3,10,0.5900000000000001,0.007142857142857173
0.0,0.1,8,3,3,10,0.5878571428571429,0.012142857142857066
0.1,0.05,8,3,3,50,0.5864285714285715,0.046428571428571486
0.1,0.05,-1,3,3,50,0.5857142857142857,0.042857142857142816
0.1,0.1,-1,1,3,10,0.585,0.012142857142857122
0.0,0.1,-1,3,3,10,0.5842857142857143,0.007142857142857173
0.1,0.1,8,3,3,10,0.5835714285714286,0.010714285714285732
0.0,0.05,-1,3,3,50,0.582857142857143,0.05428571428571427
0.0,0.05,8,3,3,50,0.5792857142857144,0.05785714285714283
0.1,0.1,8,1,3,50,0.562857142857143,0.007142857142857173
0.1,0.1,-1,1,3,50,0.5592857142857144,0.010714285714285676
0.0,0.1,-1,1,3,50,0.5549999999999999,0.01785714285714285
0.1,0.1,8,3,3,50,0.5464285714285715,0.01642857142857146
0.0,0.1,8,1,3,50,0.5457142857142857,0.021428571428571463
0.1,0.1,-1,3,3,50,0.5421428571428573,0.01785714285714285
0.0,0.1,-1,3,3,50,0.5292857142857144,0.03357142857142853
0.0,0.1,8,3,3,50,0.5292857142857144,0.02928571428571436
